step,position,accept_length,tokens_this_step,accepted_text,head0_accepted,head1_accepted,head2_accepted,head3_accepted
0,186,4,5,"Sure, here's",1,1,1,1
1,191,3,4,a 4-,1,1,1,0
2,195,4,5,day itinerary for,1,1,1,1
3,200,2,3,a trip with,1,1,0,0
4,203,2,3,children near K,1,1,0,0
5,206,0,1,aho,0,0,0,0
6,207,0,1,Lak,0,0,0,0
7,208,4,5,:\n\nDay ,1,1,1,1
8,213,4,5,1:\n\n1,1,1,1,1
9,218,0,1,.,0,0,0,0
10,219,0,1,T,0,0,0,0
11,220,0,1,iger,0,0,0,0
12,221,2,3,Kingdom - This,1,1,0,0
13,224,3,4,is a popular att,1,1,1,0
14,228,3,4,raction where visitors can,1,1,1,0
15,232,1,2,interact with,1,0,0,0
16,234,2,3,tigers,1,1,0,0
17,237,0,1,.,0,0,0,0
18,238,3,4,Address: 1,1,1,1,0
19,242,0,1,9,0,0,0,0
20,243,1,2,9/,1,0,0,0
21,245,0,1,9,0,0,0,0
22,246,1,2,Chang,1,0,0,0
23,248,1,2,klan,1,0,0,0
24,250,2,3,"Rd,",1,1,0,0
25,253,3,4,Chang Khl,1,1,1,0
26,257,1,2,"an,",1,0,0,0
27,259,3,4,Chiang Mai ,1,1,1,0
28,263,3,4,5010,1,1,1,0
29,267,3,4,"0, Thailand",1,1,1,0
30,271,3,4,. Rank in Google,1,1,1,0
31,275,3,4,: 4.,1,1,1,0
32,279,4,5,3. Opening H,1,1,1,1
33,284,3,4,ours: 9,1,1,1,0
34,288,4,5,:00 AM -,1,1,1,1
35,293,3,4,7:0,1,1,1,0
36,297,4,5,0 PM. Entry price,1,1,1,1
37,302,3,4,for an adult:,1,1,1,0
38,306,2,3,"1,",1,1,0,0
39,309,4,5,500 THB,1,1,1,1
40,314,3,4,", child: ",1,1,1,0
41,318,3,4,"1,20",1,1,1,0
42,322,4,5,0 THB.\n,1,1,1,1
43,327,3,4,2. Chiang,1,1,1,0
44,331,4,5,Mai Zoo - This,1,1,1,1
45,336,3,4,zoo is home to,1,1,1,0
46,340,4,5,over 400,1,1,1,1
47,345,3,4,species of animals and,1,1,1,0
48,349,4,5,has a variety of exhib,1,1,1,1
49,354,4,5,"its, including a p",1,1,1,1
50,359,4,5,anda enclosure. Address,1,1,1,1
51,364,4,5,: 100,1,1,1,1
52,369,4,5,Huay Kaew Road,1,1,1,1
53,374,2,3,", Chang",1,1,0,0
54,377,3,4,"Khlan,",1,1,1,0
55,381,4,5,Chiang Mai 5,1,1,1,1
56,386,4,5,"0100,",1,1,1,1
57,391,4,5,Thailand. Rank in,1,1,1,1
58,396,4,5,Google: 4.,1,1,1,1
59,401,4,5,1. Opening H,1,1,1,1
60,406,4,5,ours: 8:,1,1,1,1
61,411,4,5,00 AM - ,1,1,1,1
62,416,4,5,5:00 PM,1,1,1,1
63,421,4,5,. Entry price for an,1,1,1,1
64,426,3,4,adult: 1,1,1,1,0
65,430,4,5,"50 THB,",1,1,1,1
66,435,3,4,child: 7,1,1,1,0
67,439,4,5,0 THB.\n,1,1,1,1
68,444,4,5,3. Lunch at,1,1,1,1
69,449,4,5,Khao Soi,1,1,1,1
70,454,4,5,Khun Yai -,1,1,1,1
71,459,4,5,This restaurant is known for,1,1,1,1
72,464,2,3,its signature d,1,1,0,0
73,467,3,4,"ish, kha",1,1,1,0
74,471,3,4,"o soi,",1,1,1,0
75,475,0,1,a,0,0,0,0
76,476,3,4,noodle soup,1,1,1,0
77,480,2,3,with chicken,1,1,0,0
78,483,0,1,.,0,0,0,0
79,484,4,5,Recommended dishes,1,1,1,1
80,489,0,1,:,0,0,0,0
81,490,3,4,khao so,1,1,1,0
82,494,1,2,"i,",1,0,0,0
83,496,2,3,pad thai,1,1,0,0
84,499,2,3,", tom y",1,1,0,0
85,502,3,4,um soup. Address,1,1,1,0
86,506,3,4,: 14,1,1,1,0
87,510,0,1,Rach,0,0,0,0
88,511,4,5,adamnoen R,1,1,1,1
89,516,4,5,d Soi 5,1,1,1,1
90,521,4,5,", Tambon Si Ph",1,1,1,1
91,526,4,5,"um, Amphoe",1,1,1,1
92,531,3,4,Mueang Chi,1,1,1,0
93,535,4,5,"ang Mai, Chang",1,1,1,1
94,540,4,5,Wat Chiang Mai ,1,1,1,1
95,545,4,5,50200,1,1,1,1
96,550,4,5,", Thailand. Rank",1,1,1,1
97,555,4,5,in Google: 4,1,1,1,1
98,560,3,4,.5.\n,1,1,1,0
99,564,1,2,4.,1,0,0,0
100,566,2,3,Dinner at,1,1,0,0
101,569,3,4,The Riverside,1,1,1,0
102,573,4,5,Bar & Restaurant,1,1,1,1
103,578,3,4,- This restaurant has,1,1,1,0
104,582,3,4,a beautiful view of,1,1,1,0
105,586,2,3,the river and,1,1,0,0
106,589,4,5,serves a variety of Th,1,1,1,1
107,594,4,5,ai and international dishes,1,1,1,1
108,599,4,5,. Recommended d,1,1,1,1
109,604,1,2,ishes:,1,0,0,0
110,606,4,5,"pad thai, green",1,1,1,1
111,611,3,4,"curry, f",1,1,1,0
112,615,3,4,ried rice. Address,1,1,1,0
113,619,2,3,: 9,1,1,0,0
114,622,2,3,-11,1,1,0,0
115,625,2,3,Charoen,1,1,0,0
116,628,3,4,"rat Rd,",1,1,1,0
117,632,1,2,Wat K,1,0,0,0
118,634,3,4,"et, Chiang",1,1,1,0
119,638,3,4,Mai 50,1,1,1,0
120,642,4,5,"000, Th",1,1,1,1
121,647,4,5,ailand. Rank in Google,1,1,1,1
122,652,3,4,: 4.,1,1,1,0
123,656,3,4,2.\n5,1,1,1,0
124,660,0,1,.,0,0,0,0
125,661,4,5,Foot Massage at F,1,1,1,1
126,666,4,5,ah Lanna Spa,1,1,1,1
127,671,1,2,- This,1,0,0,0
128,673,2,3,spa offers,1,1,0,0
129,676,3,4,traditional Thai mass,1,1,1,0
130,680,3,4,ages and other treat,1,1,1,0
131,684,3,4,ments. Address:,1,1,1,0
132,688,2,3,58,1,1,0,0
133,691,1,2,/2,1,0,0,0
134,693,0,1,Raj,0,0,0,0
135,694,0,1,v,0,0,0,0
136,695,3,4,"ithi Road,",1,1,1,0
137,699,3,4,"Sriphum,",1,1,1,0
138,703,3,4,Mueang Chi,1,1,1,0
139,707,3,4,"ang Mai District,",1,1,1,0
140,711,4,5,Chiang Mai 5,1,1,1,1
141,716,4,5,"0200,",1,1,1,1
142,721,4,5,Thailand. Rank in,1,1,1,1
143,726,4,5,Google: 4.,1,1,1,1
144,731,4,5,6. Opening H,1,1,1,1
145,736,3,4,ours: 9,1,1,1,0
146,740,4,5,:00 AM -,1,1,1,1
147,745,3,4,11:,1,1,1,0
148,749,4,5,00 PM. Price,1,1,1,1
149,754,4,5,for a foot massage,1,1,1,1
150,759,3,4,: 25,1,1,1,0
151,763,4,5,0 THB.\n,1,1,1,1
152,768,3,4,\nDessert,1,1,1,0
153,772,3,4,at Mango T,1,1,1,0
154,776,2,3,ango - This,1,1,0,0
155,779,1,2,dessert,1,0,0,0
156,781,2,3,shop serves a,1,1,0,0
157,784,3,4,variety of delicious,1,1,1,0
158,788,1,2,mango,1,0,0,0
159,790,4,5,-based desserts,1,1,1,1
160,795,4,5,. Recommended d,1,1,1,1
161,800,2,3,ishes: m,1,1,0,0
162,803,2,3,ango sticky,1,1,0,0
163,806,3,4,"rice, mango",1,1,1,0
164,810,2,3,pudding,1,1,0,0
165,813,2,3,", mango",1,1,0,0
166,816,4,5,smoothie. Address:,1,1,1,1
