sample_idx,step,position,accept_length,tokens_this_step,accept_depth,accepted_topk_indices,full_winning_path,block_start_entropy,entropy_smoothed_w4,entropy_smoothed_w16,entropy_smoothed_w32,accepted_text
0,0,42,2,3,2,"(0, 0)","(0, 0, 0, 1)",1.1811443567276,1.1811443567276,1.1811443567276,1.1811443567276,1.
0,1,45,2,3,2,"(0, 0)","(0, 0, 0, 1)",1.0249407291412354,1.0918851409639632,1.1005231295862505,1.1018028316043673,Tone:
0,2,48,2,3,2,"(4, 0)","(4, 0)",3.244577407836914,2.0227790942063204,1.8617962158999397,1.838853945498263,\n	*
0,3,51,3,4,3,"(0, 1, 0)","(0, 1, 0)",2.869931936264038,2.3325949907302856,2.1387276028365196,2.109025978614995,Formal\n	
0,4,55,3,4,3,"(0, 2, 0)","(0, 2, 0)",0.00048019440146163106,1.5681629960309529,1.6541781643518674,1.6601235699549632,* Informal\n
0,5,59,1,2,1,"(0,)","(0, 0, 0, 1)",0.014172026887536049,1.0955503579546657,1.334927811838042,1.3635733131842487,	*
0,6,61,4,5,4,"(0, 0, 0, 0)","(0, 0, 0, 0)",2.072387933731079,1.3773793859450996,1.4617265890546205,1.4747271165880274,Friendly\n	*
0,7,66,3,4,3,"(0, 0, 0)","(0, 0, 0, 1)",2.791226863861084,1.7701640756979693,1.6677711703916314,1.6581448385892414,Professional\n	*
0,8,70,4,5,4,"(0, 0, 0, 1)","(0, 0, 0, 1)",2.641073226928711,2.005566479115665,1.8058437129211806,1.7817322711777965,Sarcastic\n	
0,9,75,3,4,3,"(2, 0, 0)","(2, 0, 0)",0.0005434297490864992,1.4743987977354172,1.5685737032204785,1.5771099461136022,* Humorous\n
0,10,79,1,2,1,"(0,)","(0, 0, 0, 1)",0.2091332972049713,1.144133628242611,1.401424449298098,1.4320856188056628,	*
0,11,81,4,5,4,"(0, 0, 0, 0)","(0, 0, 0, 0)",2.8698461055755615,1.5896748687514513,1.571680685495692,1.5739050410049986,Serious\n	*
